dataset,model,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
samsum,opt-30b,beam search multinomial sampling,0.497507741,0.262549382,0.428855035,0.427408846,0.91671912,0.922718392,0.91128725,0.484338222,0.250916176,0.410485643,0.410556991,0.914214543,0.922729399,0.906354012,4708.941593
samsum,opt-30b,beam search,0.490637026,0.259717863,0.416547334,0.417674646,0.915147061,0.919422448,0.911517836,0.488097517,0.259745219,0.415374186,0.415821564,0.913990489,0.920214045,0.908422084,3178.247952
samsum,opt-30b,grouped beam search,0.489769669,0.259552815,0.415764667,0.416642229,0.914867835,0.919219869,0.911164388,0.487584647,0.258522263,0.414893338,0.415374251,0.914057722,0.920424971,0.908337543,4532.97899
samsum,opt-30b,beam search top-k sampling,0.50548381,0.27115894,0.433085077,0.43224342,0.914554116,0.913182394,0.916515676,0.495263625,0.255411814,0.414001845,0.414052957,0.914266574,0.915944694,0.913175711,4385.986318
samsum,opt-30b,contrastive search,0.499231419,0.254655537,0.419455554,0.418603425,0.914093319,0.915299202,0.913473371,0.47811795,0.230886231,0.392850448,0.393062272,0.911085681,0.915124234,0.907606446,7291.172905
samsum,opt-30b,greedy decoding,0.482863177,0.246053671,0.415313233,0.414937547,0.912677689,0.91425474,0.911684334,0.47967599,0.236420983,0.397406775,0.397587812,0.911557337,0.915629245,0.908042208,1989.959305
samsum,opt-30b,top-p nucleus top-k sampling,0.478417703,0.219040293,0.383381501,0.381846284,0.91056593,0.911742355,0.910007424,0.46630335,0.216283403,0.378260644,0.378262368,0.909358193,0.913273252,0.90596572,2009.589795
samsum,opt-30b,truncation multinomial sampling,0.456893079,0.219702011,0.38289123,0.384008969,0.90968335,0.911707277,0.908115608,0.469893831,0.219112528,0.381581492,0.381838754,0.910562749,0.914333899,0.907305913,1982.421301
samsum,opt-30b,top-p nucleus multinomial sampling,0.458210873,0.21417026,0.373280152,0.371538308,0.907410558,0.909684982,0.905627766,0.458358163,0.204170169,0.369056665,0.369721368,0.908131398,0.911499407,0.905307545,2011.009706
samsum,opt-30b,multinomial sampling,0.450765299,0.196473287,0.358647468,0.359330498,0.906084836,0.90550131,0.907118991,0.451891869,0.195452742,0.36232784,0.362630968,0.90704831,0.910256145,0.904348858,2023.842664
samsum,opt-30b,top-k sampling,0.436601126,0.179923686,0.352085609,0.351437911,0.902568712,0.901950007,0.903646274,0.429751584,0.182170945,0.34088483,0.340860849,0.902121742,0.904524556,0.900196461,2050.377388
