dataset,model,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
cnn_dailymail,opt-350m,beam search top-k sampling,0.3746157353902365,0.16995684016998797,0.2736939940176225,0.3470934701961929,0.8708867033322653,0.8835369201116664,0.8590031759713286,0.3524404242624396,0.16013031766806274,0.2573954168973167,0.3283262470130959,0.8678475196078925,0.8791542044866516,0.8573057409639366,9340.851718187332
cnn_dailymail,opt-350m,beam search,0.3387180571264266,0.11546412299949302,0.23421555927637744,0.3193068789862012,0.8705829676761422,0.8875054697836599,0.8546733003790661,0.32349103194852585,0.10563992947826265,0.21946414377463846,0.30163313673129777,0.8659713352438296,0.8825644984354527,0.8503053745648667,14229.941174030304
cnn_dailymail,opt-350m,beam search multinomial sampling,0.3310445035696069,0.11999180800598949,0.2353642028006079,0.3129255154439119,0.8698837173882351,0.8890165667380056,0.8518407299954404,0.3156007190400169,0.10421794048808067,0.2166657385746036,0.29443807641603537,0.865220790393422,0.8836864480716831,0.8478500446355273,14683.069104671478
cnn_dailymail,opt-350m,contrastive search,0.38234336099193067,0.16086247263758657,0.26045409735520664,0.35703728115580624,0.8696344123091749,0.8704936100590613,0.8691546481142762,0.3714563572818863,0.1597983630536613,0.259311698669835,0.3483769456199009,0.8682885627780007,0.8706526802543825,0.8663225616676397,10694.132116556168
cnn_dailymail,opt-350m,truncation multinomial sampling,0.3628555341761334,0.14329092479386693,0.24178875430529698,0.3388754751518077,0.8684200811129744,0.8714168084565029,0.8657522329720118,0.3569493715265911,0.13911890224530943,0.23864936982397933,0.33390976440843323,0.8662383880091782,0.8699609427013987,0.8629021681225005,3192.9187955856323
cnn_dailymail,opt-350m,greedy decoding,0.37057378076548986,0.15929568958617227,0.26145206890765715,0.34728928275053017,0.8682435802234116,0.8763850036487785,0.8605298073061051,0.36504755948475154,0.15756522587157668,0.25886389699191226,0.34247435545697924,0.8672093178366731,0.8761533909557847,0.8587824238646328,1890.9831264019012
cnn_dailymail,opt-350m,top-p nucleus top-k sampling,0.3376212940096538,0.09654356839838919,0.21482624755578672,0.3120354746973356,0.8629354815329274,0.8682789847414981,0.8579160199370436,0.33121388478508185,0.09882715002248937,0.21033482224601113,0.3085728950504739,0.8602008653203362,0.8651037608925102,0.8556686328221119,4792.172107934952
cnn_dailymail,opt-350m,multinomial sampling,0.3391752573303845,0.10581949734184583,0.21859674659019268,0.31687824489482086,0.861048960557548,0.8649820819977792,0.8573996623357137,0.3354370627323794,0.10719301032136327,0.21549697394113887,0.31289107710088615,0.8613334696542666,0.8662211070267843,0.8568160709682402,4426.408971071243
cnn_dailymail,opt-350m,top-p nucleus multinomial sampling,0.31344354245435635,0.08369477448567175,0.2019744609724218,0.29485325270613305,0.8562359060010603,0.8613262945605863,0.8514675959464042,0.3107303462593214,0.08220926620439026,0.19288536584944255,0.28734396354184777,0.8553228419479731,0.8600844670213467,0.8508872955175795,3817.9749999046326
cnn_dailymail,opt-350m,top-k sampling,0.2883115224135946,0.0645276748629176,0.17638075349258414,0.2684183363218674,0.8501899658992726,0.8557347386114059,0.844976584757528,0.29423471103199256,0.07067310314564812,0.17889614251131936,0.2713647510649225,0.8516984705051174,0.8548471832069472,0.8488734823724239,5019.812016963959
cnn_dailymail,opt-1.3b,grouped beam search,0.4011709818232443,0.18803272959879266,0.2995909506629314,0.37725666150643217,0.8757557958684942,0.8796480528769954,0.8723449860849688,0.39405287532117333,0.18297954193857507,0.28039482584023656,0.3692048695431259,0.8743107429074769,0.8790677676199076,0.8700468395003719,14920.685379505157
cnn_dailymail,opt-1.3b,beam search,0.3584661528891937,0.13926819668023788,0.25393016218926967,0.33744829015824174,0.8744538977581967,0.8890281543936781,0.860724804862853,0.3586718588151345,0.13714202094378744,0.2477509593361451,0.33538675780375093,0.8727131055299384,0.8862216977500724,0.8599573892099058,13273.641160011292
cnn_dailymail,opt-1.3b,beam search top-k sampling,0.399105616366383,0.17546813869185518,0.2820791147374453,0.37356471193989754,0.872875343086899,0.8686718985598575,0.8775370294047941,0.3934766839300081,0.1772831295559622,0.27173956027951507,0.368816971675875,0.873190205690186,0.869559543961532,0.8772704423496043,14903.164606332779
cnn_dailymail,opt-1.3b,beam search multinomial sampling,0.37263243836131266,0.17296179081493313,0.27998031236594584,0.34851787727912154,0.8724391146372723,0.8840447395078598,0.8615617136801442,0.3721350661146775,0.1747674259450066,0.2709174673358915,0.34774965578054046,0.8723528559671384,0.8832036391682134,0.8622192359415308,16001.12039399147
cnn_dailymail,opt-1.3b,top-p nucleus top-k sampling,0.38205546243079413,0.15514985552655763,0.2653162349202982,0.3618554568531735,0.8721848790363599,0.8761292298634847,0.8686889019063724,0.38003137824336075,0.15624501523945744,0.2562331187885273,0.35599629213606215,0.8725336837461168,0.875689999610167,0.8697814137575429,6901.371284008026
cnn_dailymail,opt-1.3b,greedy decoding,0.37245853504983695,0.14243825841642188,0.2619139051053986,0.349090522665802,0.8705300092697144,0.8769527833948854,0.864482698902007,0.3673813367067121,0.13628027926888714,0.24982698220525218,0.34471784553434326,0.8689567449767623,0.8767622148293789,0.8615875132377253,4794.98507976532
cnn_dailymail,opt-1.3b,contrastive search,0.36479037501529327,0.13415088637414174,0.2505474783635721,0.34376013645011816,0.867095144205196,0.8699717848531662,0.8645147495372321,0.3597481826380605,0.12791931229556575,0.24043344134107542,0.33612202790684287,0.8666381781995632,0.8704624514747492,0.863169866317592,35126.492723703384
cnn_dailymail,opt-1.3b,multinomial sampling,0.3487097710332245,0.1366923451524243,0.24883174476050712,0.32579113257791537,0.8663518947939719,0.8764405096730878,0.8568955429138676,0.36185555354460486,0.1469822393730367,0.2500508971666874,0.3387655002839316,0.8692726673881735,0.8803045165704418,0.8588208256025669,3522.002495765686
cnn_dailymail,opt-1.3b,truncation multinomial sampling,0.35425748574680316,0.10927972097335599,0.22738425618288122,0.3303846393023789,0.8649880745077646,0.8699244664561364,0.8604454680155682,0.3461886502706579,0.10762739730723804,0.2221088997604453,0.3221992216729811,0.8650267404181322,0.8701627156152223,0.8602700792052508,6456.298213005066
cnn_dailymail,opt-1.3b,top-p nucleus multinomial sampling,0.29842029453194024,0.0922661207038134,0.1958292927219451,0.2797103226864504,0.8631040203955865,0.8681689628990747,0.8583399653434753,0.29544305738562554,0.08955997992091219,0.19442707858797675,0.2764639636420978,0.8635217301955076,0.8679767439251683,0.8593888301950235,6162.5160937309265
cnn_dailymail,opt-1.3b,top-k sampling,0.2720499527509439,0.0686731144099272,0.17610227303507253,0.25530646515171584,0.8564240708146044,0.8610243854984161,0.8521066384930764,0.28065066813915396,0.0784629035306305,0.18358766967403817,0.2619801393321582,0.8601404289934271,0.8647215748806145,0.8558684957088614,5424.4886429309845
cnn_dailymail,opt-2.7b,grouped beam search,0.4237752302068893,0.19980142318946117,0.30061078974494476,0.4014945997648324,0.8797870271949357,0.8803498161736355,0.8796137000924797,0.4086587718476945,0.18757414234665298,0.28652688173882873,0.38481355360761027,0.877487018060917,0.8788117530020922,0.8765630110555513,26836.367783546448
cnn_dailymail,opt-2.7b,greedy decoding,0.42058612124164335,0.19694195973829315,0.29789411717955133,0.3979145984366914,0.8790181567592006,0.8797946149303068,0.8786150582375065,0.4084957561747472,0.1870218683341648,0.28603165385353996,0.38455213705347335,0.8773515385163264,0.8788482985951334,0.8762478342431107,9498.38683795929
cnn_dailymail,opt-2.7b,contrastive search,0.4184772088698413,0.19376472999642488,0.2946255029793643,0.39354029121112044,0.8780388838501387,0.8788834553892895,0.8775008936082164,0.4084864709162649,0.18645251825401,0.2865656712455927,0.38410542500661105,0.8770505849060778,0.8794612990166968,0.8750005209456398,32199.093955278397
cnn_dailymail,opt-2.7b,beam search top-k sampling,0.4254212542464674,0.2004767934506375,0.2976619604430113,0.40246266495585215,0.8776805682848858,0.8735238403402349,0.8822009121218035,0.40547888519658526,0.18865564999994136,0.28311886410280873,0.3797634274588576,0.8755899407356579,0.8718395334024843,0.8797765400221984,22862.58419084549
cnn_dailymail,opt-2.7b,top-p nucleus top-k sampling,0.4005180008327572,0.18203120859784422,0.27758045907004014,0.3809681524191385,0.8768300997313633,0.8786383501945003,0.8754576745853629,0.4013871229045156,0.17745248551372195,0.2768917898977096,0.376763119349656,0.8762857547494524,0.8785425682497019,0.8744043354054598,9597.261435747147
