dataset,model,trial,loss,type,total_time,metrics.rouge1,metrics.rouge2,metrics.rougeL,metrics.rougeLsum,metrics.bertscore_f1,metrics.bertscore_precision,metrics.bertscore_recall
cnn_dailymail,opt-13b,34,0.8537130599380821,beam search top-k sampling,918.4240999221802,0.3435293573984834,0.16926457770134265,0.26372092976559564,0.3251940097439798,0.8537130599380821,0.8532890389042516,0.8558525878895995
cnn_dailymail,opt-13b,35,0.8483946829713801,top-p nucleus multinomial sampling,433.5499324798584,0.2740503960532198,0.05419688299261493,0.1685849765927801,0.2520581249341486,0.8483946829713801,0.8498590402705695,0.8472277054222681
cnn_dailymail,opt-13b,36,0.8738085871101707,beam search top-k sampling,670.003497838974,0.4010155198681079,0.19480754775995368,0.2942802057684085,0.3768336343773995,0.8738085871101707,0.8810636689586024,0.86705122968202
cnn_dailymail,opt-13b,37,0.8717273057148021,beam search top-k sampling,707.2645735740662,0.3821594438692877,0.1837211842089807,0.28321976852935804,0.36088029878086325,0.8717273057148021,0.8791744510332743,0.8653161333453271
cnn_dailymail,opt-13b,38,0.7729551965190519,multinomial sampling,735.0356156826019,0.03640644668932613,0.002803594517227192,0.029499775784231234,0.03322186058737251,0.7729551965190519,0.7572779719547559,0.7896783454443819
cnn_dailymail,opt-13b,39,0.8661425716133528,greedy decoding,331.5810616016388,0.3482421007062647,0.10504368949210474,0.233331216081314,0.32630261843633834,0.8661425716133528,0.8736437924446598,0.8590819528025966
cnn_dailymail,opt-13b,40,0.8699006643346561,beam search,893.4622647762299,0.3426941454859914,0.11271860867149582,0.23155236789951866,0.3166175203923133,0.8699006643346561,0.8830155153428355,0.8574703322943821
cnn_dailymail,opt-13b,41,0.8676720396164925,truncation multinomial sampling,401.43037390708923,0.3667953083354447,0.12345217626061347,0.24700111608437403,0.3439255411515264,0.8676720396164925,0.8723437004191901,0.8634085738530723
cnn_dailymail,opt-13b,42,0.8738571155455804,grouped beam search,692.7414226531982,0.4005989105204431,0.19042725713457953,0.296368769514771,0.3784993396085584,0.8738571155455804,0.8815514458123074,0.8666614588870797
cnn_dailymail,opt-13b,43,0.876569378119643,contrastive search,559.5820744037628,0.40607298151851734,0.1944454688682704,0.2979201425027542,0.38329559532560076,0.876569378119643,0.8837797013662194,0.8698320907931174
cnn_dailymail,opt-13b,44,0.8767916681945965,contrastive search,529.8299384117126,0.40373808681945744,0.19418211529594642,0.2981361145499136,0.3807820543392316,0.8767916681945965,0.8853763399585601,0.86875811635807
cnn_dailymail,opt-13b,45,0.8765693627377992,contrastive search,545.0503449440002,0.40414280573608763,0.19350197120308837,0.2971000277437207,0.38052990223050975,0.8765693627377992,0.8844051373902188,0.8692451632151039
cnn_dailymail,opt-13b,46,0.8702278021843203,contrastive search,972.4336497783661,0.3844935528269979,0.1332058678974783,0.26024070644465797,0.35900783988748963,0.8702278021843203,0.8738903166145406,0.866935787662383
cnn_dailymail,opt-13b,47,0.8784311061264366,contrastive search,1031.325800895691,0.4200590448216964,0.19683566510142653,0.3010952348254457,0.39692064529354615,0.8784311061264366,0.8798667077095278,0.8773426663491034
cnn_dailymail,opt-13b,48,0.7900453998196509,top-p nucleus multinomial sampling,723.7805609703064,0.05106226508198518,0.0034243167630691298,0.036835326954225825,0.04636826518997671,0.7900453998196509,0.7764191589047832,0.8046313812655788
cnn_dailymail,opt-13b,49,0.8550218497553179,top-k sampling,428.13349318504333,0.3069278364771602,0.07339726065950747,0.17997842074254372,0.2769873351327082,0.8550218497553179,0.856966455136576,0.8533988005371504
cnn_dailymail,opt-13b,50,0.8607998496742659,beam search multinomial sampling,731.3574125766754,0.32779346792184516,0.16480302334214975,0.25829935616652866,0.3111207011956292,0.8607998496742659,0.872646733637779,0.850091657330913
cnn_dailymail,opt-13b,51,0.827311663217442,top-p nucleus top-k sampling,328.9734516143799,0.10649215518688485,0.011672967394677363,0.07564988402638288,0.10097887089653419,0.827311663217442,0.8280820808103008,0.8267334475312181
cnn_dailymail,opt-13b,52,0.8688835085079234,grouped beam search,616.1162385940552,0.32371190919034537,0.11066510573669006,0.22903088721336656,0.30095880678766884,0.8688835085079234,0.8859659394910259,0.8528420867458466
cnn_dailymail,opt-13b,53,0.8659768610872248,greedy decoding,335.59961891174316,0.34876497778377746,0.10497165325294655,0.23340979620557245,0.32640773700045655,0.8659768610872248,0.8731397640320563,0.8592393173966356
cnn_dailymail,opt-13b,54,0.7805573683913036,contrastive search,1267.9320755004883,0.055891551017478544,0.0027537283233562996,0.040042877468604035,0.05111091462992573,0.7805573683913036,0.759220782146659,0.8035162674483433
cnn_dailymail,opt-13b,55,0.8583249507411834,multinomial sampling,314.12768936157227,0.30873045490642015,0.09164759755241897,0.19880197806607003,0.28808263759222286,0.8583249507411834,0.8675660112852691,0.8496018814784224
cnn_dailymail,opt-13b,56,0.8488404180413933,top-k sampling,341.01101183891296,0.2776793786704046,0.05936323889352883,0.17478181375665036,0.2544716046615497,0.8488404180413933,0.852125035819187,0.8458786593970432
cnn_dailymail,opt-13b,57,0.8696707801152301,beam search multinomial sampling,887.0584650039673,0.34306450041028835,0.12317078858562602,0.24213176059416336,0.319166229386295,0.8696707801152301,0.8850653825267669,0.8551493357586605
cnn_dailymail,opt-13b,58,0.8791027972775121,contrastive search,1322.547705411911,0.42099326467596965,0.19945984367705316,0.3021398400142947,0.3977384792207504,0.8791027972775121,0.8793033111479974,0.8792297372253992
cnn_dailymail,opt-13b,59,0.8790720085943898,contrastive search,1311.8819749355316,0.4224010507310343,0.19932826926471653,0.3012590497364866,0.39806224213839914,0.8790720085943898,0.879277438886704,0.8791964445062863
cnn_dailymail,opt-13b,60,0.87892976883919,contrastive search,1482.9946475028992,0.42047895512970945,0.19860308447735298,0.3025512353434362,0.3960368835098243,0.87892976883919,0.8788638839157679,0.8793042584132122
cnn_dailymail,opt-13b,61,0.8775907524170414,contrastive search,1318.2052912712097,0.4169042670364024,0.1952990440581876,0.302572384878673,0.3933038269089957,0.8775907524170414,0.8774163043627174,0.8780877237678856
cnn_dailymail,opt-13b,62,0.8663653013526752,contrastive search,1390.8293190002441,0.36138178211223937,0.10509271156860087,0.2383213857906906,0.3360677300464868,0.8663653013526752,0.8696176992949619,0.8634865290375167
cnn_dailymail,opt-13b,63,0.8759778058657082,beam search,625.1325349807739,0.37907325590602714,0.15054614969351476,0.26933656939473155,0.35383647336530133,0.8759778058657082,0.887697567862849,0.8649026213153717
cnn_dailymail,opt-13b,64,0.8691227147656102,top-p nucleus multinomial sampling,582.7074725627899,0.36970709642685257,0.1383222215032166,0.24168133166711248,0.3414699958401648,0.8691227147656102,0.8779249915512659,0.8607571797986184
