dataset,strategy,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
cnn_dailymail,multinomial-sampling,multinomial sampling,0.32046271964476125,0.11136709136209152,0.18998866755683178,0.2617010733695379,0.8476346051821144,0.8425017121017621,0.8532115099250629,0.31728014782226566,0.12396577592349786,0.20254571767159313,0.2667882530891622,0.8467421897556803,0.8386016130178797,0.8554928802641122,6500.075512886047
cnn_dailymail,beam-search,beam search,0.3897252507419072,0.17128336482970305,0.2506424622795649,0.32483267954893125,0.8655188654058723,0.8546290051552557,0.8770789593778631,0.38651793921757505,0.17773980133187567,0.2476085250857346,0.3189274882016564,0.8670058220434672,0.8535913563458071,0.8812392574553944,22606.77794098854
cnn_dailymail,beam-search-multinomial-sampling,beam search multinomial sampling,0.3579224432277378,0.14344370656500646,0.22789891281025937,0.29809483415710814,0.8579508873724169,0.855456627825255,0.8609002476097435,0.36602085502347315,0.15588196077102423,0.2331152716736069,0.3038994726495983,0.8593889558057132,0.8552588668927813,0.8639335271070382,16138.830229520798
cnn_dailymail,beam-search-top-k-sampling,beam search top-k sampling,0.3691389601543674,0.15158768550346982,0.23552790271920684,0.30938900601215447,0.8593824973670385,0.8574975869988882,0.8616159045568077,0.35912027876534114,0.15108651130330403,0.22939001252865965,0.299521638638198,0.8581669079092032,0.8543610241553679,0.8623488807218634,8059.844671964645
cnn_dailymail,grouped-beam-search,grouped beam search,0.37701498325553884,0.15446686620809963,0.23843578775428761,0.312739777105496,0.8617152276859489,0.8593733682427355,0.8644449121208602,0.3791779120845292,0.16476779229454916,0.24145889501202558,0.3145853776702191,0.8630976880845654,0.8585117719307428,0.8681036657155389,13086.362987995148
cnn_dailymail,top-k-sampling,top-k sampling,0.34614014071911847,0.13978453723274853,0.21983476225984327,0.29306496245478936,0.8531077433657902,0.8452344133007911,0.8614353294013649,0.3169698748531199,0.12477807550914106,0.20216408462567773,0.26616832640180316,0.8471504483045095,0.8374999174861022,0.8575095408236463,7010.064310312271
cnn_dailymail,top-p-nucleus-multinomial-sampling,top-p nucleus multinomial sampling,0.35230026019239224,0.14531476594391052,0.22843704852145294,0.299306064694672,0.8545060106503066,0.8475087220950793,0.8621293267896099,0.34073617911045656,0.14196802710303905,0.21870399245810362,0.2855139634744097,0.8526976758613949,0.8442404129833733,0.8617575747421529,6779.8377068042755
cnn_dailymail,top-p-nucleus-top-k-sampling,top-p nucleus top-k sampling,0.338271104246947,0.12660104712200115,0.2203305206617546,0.28362847007690367,0.8529017458679855,0.8512777391300407,0.8549104800788305,0.32765583341267746,0.12860582151147407,0.20894262558612842,0.2750527496888477,0.8491915259825032,0.8450369483792807,0.853822484550913,5729.222084760666
cnn_dailymail,contrastive-search,contrastive search,0.36906566808443264,0.15003649835701077,0.2366217015168558,0.30933743268664654,0.8595463159263775,0.8511268611877195,0.8685252358836513,0.3568857124124515,0.1536037191989781,0.22900107798379893,0.2973442713966483,0.8586616050333087,0.8485024522550265,0.869414028013912,16029.251148462296
cnn_dailymail,truncation-multinomial-sampling,truncation multinomial sampling,0.3275925850220111,0.12687300678391722,0.20543268504370463,0.27768790240637065,0.8532787471689204,0.8407373735981603,0.8666506172508321,0.3050433460782174,0.12802885347037052,0.1981623920761733,0.25839650671419145,0.8470727904580952,0.832373471757858,0.8628039329680771,10250.340302944183
samsum,greedy-decoding,greedy decoding,0.21159996052689356,0.05086923374365657,0.16505935585627574,0.17762888178338626,0.8386599789431066,0.8224363091551228,0.8559369422771312,0.20033486539455148,0.04572178674037287,0.15258356582633115,0.16692145531958388,0.8365166420173878,0.8210717140536605,0.8530135327206426,420.7328598499298
samsum,multinomial-sampling,multinomial sampling,0.21262709089352486,0.041002359904017405,0.1697456579035228,0.1812080563190201,0.833932552072737,0.8132319671136362,0.8567948797602712,0.19602845760652643,0.036124982056711503,0.15208354756313752,0.16866152894453973,0.8305883279504648,0.810804484309731,0.8519879872108991,417.6786382198334
samsum,beam-search,beam search,0.24535824218647515,0.06186005339007705,0.17795998922303513,0.19915659499228572,0.8472147061501021,0.8305170528682662,0.865019800486388,0.23574655014943674,0.05849066335145231,0.17915174939276965,0.195201900549368,0.8422875467674199,0.8250776530039907,0.860707626237974,712.4891667366028
samsum,beam-search-multinomial-sampling,beam search multinomial sampling,0.2384368902715062,0.06647627530922628,0.17837767078189934,0.19344220450073316,0.8454040009298442,0.8291421804899051,0.8628185045571974,0.23482371913713304,0.05791488678041888,0.1790716984102148,0.19372942447542177,0.8438069238185301,0.827601084633479,0.8611412092734023,1250.2829174995422
samsum,beam-search-top-k-sampling,beam search top-k sampling,0.2359091014156071,0.06124582979388648,0.1820871126074492,0.19515922455891055,0.8509815335273743,0.8355237598772403,0.8674848300439341,0.23370795912832015,0.060032284497064374,0.17800847861030947,0.19451396932408987,0.8435144278156015,0.8265345324381221,0.8616905519522735,1512.534142255783
samsum,grouped-beam-search,grouped beam search,0.24592943810455298,0.06524011646891872,0.18324498731423505,0.19898630390556984,0.8493666170555868,0.833091930842694,0.8667411436269312,0.24251390925306854,0.060478062925014994,0.18651111796304293,0.2013210675051374,0.8444429417669554,0.8279571892723204,0.8620888502024323,1212.0840599536896
samsum,top-k-sampling,top-k sampling,0.17478525609527484,0.02100891177953686,0.13014169737699333,0.14483730549763663,0.8356134266029169,0.8196199815950276,0.8525968775337125,0.18064052915458925,0.027056812445528957,0.1332473701397171,0.14646142641389626,0.8315461517399193,0.8161767998457828,0.8479157662944771,486.28995513916016
samsum,top-p-nucleus-multinomial-sampling,top-p nucleus multinomial sampling,0.2019312041712709,0.043896553099619054,0.15317357063071793,0.1637596385686102,0.8383315602938334,0.8223521481325597,0.8553480483867504,0.19454847845634304,0.03439947112937473,0.14526894891711378,0.15847793619943235,0.8351399822840615,0.8200060034555102,0.851255580328032,483.11357855796814
samsum,top-p-nucleus-top-k-sampling,top-p nucleus top-k sampling,0.19369296500567695,0.03310363249949917,0.1453542246554989,0.1646215414290522,0.8387470613291235,0.8239326565353958,0.8544872329558855,0.19241172842646542,0.033914897902108755,0.1433418013684369,0.15735937186298607,0.8350870441167783,0.8189615775377322,0.8523103992144266,468.19193816185
samsum,contrastive-search,contrastive search,0.22269312870216096,0.054453835993195754,0.18549692835610992,0.19821938709046702,0.8387274388913755,0.8177603836412783,0.8618592303476216,0.2293988128419333,0.054910400186591615,0.18426999980170036,0.197712230841431,0.8326644247559255,0.8076007642734327,0.8603902955486079,1626.2186851501465
samsum,truncation-multinomial-sampling,truncation multinomial sampling,0.1977766775086946,0.028442822400616605,0.1473575972731324,0.1618527293438979,0.8353148102760315,0.8188208025178791,0.8528465510886393,0.18293344658820795,0.02599309647114849,0.13495091854239694,0.14967402966994792,0.8308034974431234,0.815066048586616,0.8475320885760734,484.51618003845215
